DateTime,AddedIPs,RemovedIPs
1534698754,2,5
1534699461,3,0
1534700185,2,13
1534700902,2,0
1534701631,1,5
1534702338,4,0
1534703084,1,14
1534703793,3,3
1534704751,1,5
1534705462,7,3
1534706195,2,4
1534706803,5,6
1534707614,5,2
1534708327,8,3
1534709061,1,7
1534709776,2,11
1534711208,7,0
1534711933,2,4
1534712653,13,8
1534713375,4,4
1534714355,3,8
1534715060,3,1
1534715788,3,2
1534716499,3,7
1534717219,4,1
1534717944,38,3
1534718662,25,2
1534719376,12,8
1534720116,10,6
1534720818,10,3
1534721547,1,4
1534723507,14,19
1534724181,6,0
1534725146,6,10
1534725867,6,7
1534726577,4,0
1534727303,1,4
1534728030,8,15
1534728742,5,0
1534729466,12,12
1534730430,9,11
1534731414,12,14
1534732097,10,8
1534732822,9,6
1534733540,7,2
1534734269,8,6
1534735231,12,8
1534735941,13,0
1534736663,7,9
1534737648,12,14
1534738340,9,0
1534739059,7,3
1534739769,4,7
1534740495,6,8
1534741467,8,7
1534742432,8,4
1534743141,4,4
1534743863,5,5
1534744580,12,4
1534745316,4,3
1534746016,5,0
1534746758,4,9
1534747459,5,0
1534748182,4,5
1534749161,11,14
1534749851,6,0
1534750575,10,3
1534751297,4,6
1534752031,13,9
1534752729,9,3
1534753452,9,11
1534754420,9,8
1534755133,9,6
1534755857,4,0
1534756829,13,4
1534757534,4,1
1534758263,2,6
1534758966,8,5
1534759711,4,10
1534760671,7,8
1534761380,5,6
1534762105,8,9
1534762825,11,0
1534763549,7,8
1534764259,5,10
1534764983,5,3
1534765951,11,9
1534766668,7,0
1534767387,6,8
1534768349,6,1
1534769060,5,0
1534769791,4,4
1534770500,8,3
1534771223,2,4
1534771942,4,0
1534774132,12,10
1534774816,11,6
1534775547,1,3
1534776260,8,9
1534776979,6,0
1534777957,16,14
1534778659,9,0
1534779382,6,3
1534780348,12,8
1534781067,6,7
1534782047,12,10
1534782732,6,0
1534783455,4,7
1534784449,8,10
1534785128,4,8
1534785858,5,3
1534786568,7,0
1534787292,10,8
1534788263,5,7
1534789229,9,12
1534790189,14,3
1534790900,6,7
1534791642,5,4
1534792341,7,0
1534793053,8,3
1534793768,12,8
1534794495,8,7
1534795215,6,0
1534795933,3,8
1534796652,4,8
1534797373,2,6
1534798095,6,5
1534798813,1,4
1534799535,3,5
1534800250,3,5
1534800970,6,7
1534801934,10,1
1534802655,4,5
1534803385,3,10
1534804088,4,5
1534804826,4,2
1534805555,5,3
1534806273,1,8
1534806987,8,3
1534807706,4,15
1534808420,6,0
1534809141,5,9
1534809867,7,8
1534810594,5,4
1534812273,15,25
1534812983,10,4
1534813703,8,4
1534814422,7,12
1534815146,6,13
1534815860,13,4
1534816581,10,12
1534817549,17,15
1534818266,6,6
1534818986,4,8
1534819700,8,4
1534820427,10,7
1534821141,11,8
1534821862,4,12
1534822582,6,0
1534823566,10,7
1534824268,5,5
1534824982,7,10
1534825698,7,3
1534826423,3,4
1534827138,11,0
1534827867,3,43
1534828833,7,7
1534829550,3,0
1534830265,5,10
1534831230,13,5
1534831938,6,7
1534832679,5,3
1534833379,7,4
1534834105,4,9
1534834835,4,0
1534835553,8,10
1534836263,7,0
1534836983,5,10
1534837945,13,8
1534838916,9,7
1534839617,6,4
1534840350,10,4
1534841060,8,5
1534841783,8,3
1534842747,3,1
1534843464,11,4
1534844184,6,7
1534844901,10,5
1534845632,7,11
1534846592,9,9
1534847567,5,13
1534848260,13,0
1534848985,2,6
1534849698,3,0
1534850419,12,7
1534851144,5,5
1534851870,5,2
1534852583,5,4
1534853548,5,3
1534854261,6,8
1534854981,5,4
1534855949,4,10
1534856663,10,2
1534857398,0,6
1534858348,9,2
1534859060,3,4
1534859785,4,1
1534860498,5,5
1534861225,9,8
1534861946,3,0
1534862665,5,10
1534863638,7,8
1534864329,8,5
1534865086,7,9
1534865777,7,4
1534866504,5,4
1534867485,17,3
1534868181,6,3
1534868900,5,3
1534869868,9,11
1534870823,8,5
1534871802,6,4
1534872738,14,6
1534873461,6,11
1534874173,11,0
1534875141,5,9
1534875850,6,4
1534876571,5,7
1534877538,5,1
1534878511,8,8
1534879465,6,7
1534880183,2,3
1534880910,7,3
1534881523,6,8
1534882338,7,0
1534883051,11,8
1534883778,1,8
1534884490,1,6
1534885232,7,3
1534885936,8,5
1534886690,3,6
1534887380,11,8
1534888102,5,2
1534888828,3,13
1534889556,3,0
1534890513,5,11
1534891218,7,7
1534891949,6,7
1534892911,8,5
1534893863,3,11
1534895559,18,10
1534896273,10,0
1534897229,10,16
1534898192,19,6
1534899146,10,7
1534900123,14,10
1534901066,6,24
1534902030,6,10
1534902737,5,11
1534903472,10,6
1534904183,10,11
1534904904,10,15
1534905881,13,6
1534906837,8,10
1534907539,9,0
1534908279,8,16
1534908979,9,9
1534909710,9,0
1534910424,6,8
1534911147,10,6
1534911868,8,0
1534912584,3,6
1534913549,9,15
1534914265,3,0
1534914992,6,5
1534915702,2,0
1534916425,1,4
1534917384,7,6
1534918347,6,34
1534919060,3,2
1534919781,9,8
1534920500,6,6
1534921242,5,10
1534921940,3,2
1534922659,8,5
1534923373,3,4
1534924094,3,5
1534925065,5,5
1534925771,10,8
1534926509,8,3
1534927213,5,10
1534927957,5,4
1534928917,6,3
1534929883,7,5
1534930823,10,4
1534931783,3,7
1534932748,5,7
1534933465,8,7
